Prüfungsfach,Modul,Titel,2021S,2021W,2022S,2022W,2023S,2023W,2024S,2024W,2025S
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Advanced Multiprocessor Programming,0,0,1,0,1,0,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Advanced Object-Oriented Programming,0,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Analyse und Verifikation,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VO Codegeneratoren,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Dynamic Compilation,1,0,1,0,1,0,1,0,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Effiziente Programme,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Fortgeschrittene funktionale Programmierung,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Fortgeschrittene logische Programmierung,1,0,1,0,0,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Fortgeschrittene objektorientierte Programmierung,1,0,0,0,0,0,0,0,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU GPU Architectures and Computing,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU High Performance Computing,0,1,0,1,0,1,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Mobile Robotik,1,0,1,0,1,0,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Optimierende Übersetzer,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Parallele und Echtzeitprogrammierung,1,0,1,0,1,0,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Probabilistic Programming and AI,0,0,0,0,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Programmiersprachen,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Programming Principles of Mobile Robotics,1,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Programming Principles of Mobile Robotics II,0,0,1,0,0,0,0,0,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Semantik von Programmiersprachen,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,SE Seminar aus Programmiersprachen,1,0,1,0,1,0,1,0,1
Computersprachen und Programmierung,Computersprachen und Programmierung,SE Seminar aus Übersetzerbau,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Stackbasierte Sprachen,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VO Typsysteme,0,1,0,1,0,1,0,1,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Weiterführende Multiprocessor Programmierung,1,0,0,0,0,0,0,0,0
Computersprachen und Programmierung,Computersprachen und Programmierung,VU Übersetzer für Parallele Systeme,0,0,0,1,0,0,0,0,0
Computersprachen und Programmierung,Projekt aus Software Engineering & Internet Computing,PR Project in Computer Science 1,1,1,1,1,1,1,1,1,1
Computersprachen und Programmierung,Projekt aus Software Engineering & Internet Computing,PR Project in Computer Science 2,1,1,1,1,1,1,1,1,1
Distributed Systems,Internet Computing and Distributed Systems Technologies,VU Advanced Internet Computing,0,1,0,1,0,1,0,1,0
Distributed Systems,Internet Computing and Distributed Systems Technologies,VU Distributed Systems Technologies,1,0,1,0,1,0,1,0,1
Distributed Systems,Distributed Systems and Networking,VU Advanced Distributed Systems,0,0,0,0,0,0,0,0,0
Distributed Systems,Distributed Systems and Networking,VU Computer Networks,1,0,1,0,1,0,1,0,1
Distributed Systems,Distributed Systems and Networking,VU Distributed Systems Engineering,1,0,1,0,0,0,1,0,1
Distributed Systems,Distributed Systems and Networking,VU Hands-On Cloud Native,0,0,0,0,0,0,1,0,0
Distributed Systems,Distributed Systems and Networking,VU Hybrid Classic-Quantum Systems,0,0,0,0,0,1,0,1,0
Distributed Systems,Distributed Systems and Networking,VU Internet of Things for Smart Systems,0,0,0,0,0,0,0,0,0
Distributed Systems,Distributed Systems and Networking,VU Large-scale Distributed Computing,0,0,0,0,0,0,0,0,0
Distributed Systems,Distributed Systems and Networking,VU Mobile Network Services and Applications,0,1,1,1,0,0,0,0,0
Distributed Systems,Distributed Systems and Networking,VO Network Engineering,0,1,0,1,0,0,1,1,0
Distributed Systems,Distributed Systems and Networking,UE Network Engineering,0,1,0,1,0,0,1,1,0
